,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
7654,0.349,0.348,3,-6.142,1,0.0316,0.726,0.0,0.12,0.0886,74.541,audio_features,0HZhYMZOcUzZKSFwPOti6m,spotify:track:0HZhYMZOcUzZKSFwPOti6m,https://api.spotify.com/v1/tracks/0HZhYMZOcUzZKSFwPOti6m,https://api.spotify.com/v1/audio-analysis/0HZhYMZOcUzZKSFwPOti6m,246587,4
7655,0.459,0.744,2,-6.209,0,0.0546,0.00332,0.0191,0.0239,0.255,138.985,audio_features,7DtWwldvUq9N3Oo3wCBxjx,spotify:track:7DtWwldvUq9N3Oo3wCBxjx,https://api.spotify.com/v1/tracks/7DtWwldvUq9N3Oo3wCBxjx,https://api.spotify.com/v1/audio-analysis/7DtWwldvUq9N3Oo3wCBxjx,213587,4
7656,0.19,0.132,7,-20.038,1,0.0408,0.982,0.954,0.08,0.0413,74.857,audio_features,1apYfqtaXefTBkHDfUT9QP,spotify:track:1apYfqtaXefTBkHDfUT9QP,https://api.spotify.com/v1/tracks/1apYfqtaXefTBkHDfUT9QP,https://api.spotify.com/v1/audio-analysis/1apYfqtaXefTBkHDfUT9QP,50653,1
7657,0.427,0.145,4,-12.685,1,0.0327,0.848,0.0,0.0905,0.0611,139.417,audio_features,7pOcnni0UFajywUyhQhFHC,spotify:track:7pOcnni0UFajywUyhQhFHC,https://api.spotify.com/v1/tracks/7pOcnni0UFajywUyhQhFHC,https://api.spotify.com/v1/audio-analysis/7pOcnni0UFajywUyhQhFHC,276400,4
7658,0.465,0.775,0,-5.525,1,0.0414,0.141,3.89e-05,0.244,0.49,156.072,audio_features,0tv7e81tRqibc5Q8PYhweP,spotify:track:0tv7e81tRqibc5Q8PYhweP,https://api.spotify.com/v1/tracks/0tv7e81tRqibc5Q8PYhweP,https://api.spotify.com/v1/audio-analysis/0tv7e81tRqibc5Q8PYhweP,244627,4
7659,0.237,0.269,7,-9.61,0,0.0298,0.573,0.000283,0.101,0.0681,81.256,audio_features,21JTgoZLDB2F4Fx0uRCmTL,spotify:track:21JTgoZLDB2F4Fx0uRCmTL,https://api.spotify.com/v1/tracks/21JTgoZLDB2F4Fx0uRCmTL,https://api.spotify.com/v1/audio-analysis/21JTgoZLDB2F4Fx0uRCmTL,233480,4
7660,0.457,0.382,11,-8.999,1,0.0328,0.466,0.0,0.122,0.365,140.9,audio_features,6TqpSLQx0zR6IoWssL5fIS,spotify:track:6TqpSLQx0zR6IoWssL5fIS,https://api.spotify.com/v1/tracks/6TqpSLQx0zR6IoWssL5fIS,https://api.spotify.com/v1/audio-analysis/6TqpSLQx0zR6IoWssL5fIS,269587,4
7661,0.458,0.52,9,-5.947,0,0.0291,0.0882,3.36e-05,0.146,0.309,134.313,audio_features,7wWUdleEFkbMyDNHud1t8X,spotify:track:7wWUdleEFkbMyDNHud1t8X,https://api.spotify.com/v1/tracks/7wWUdleEFkbMyDNHud1t8X,https://api.spotify.com/v1/audio-analysis/7wWUdleEFkbMyDNHud1t8X,279733,4
7662,0.412,0.463,2,-7.571,1,0.0328,0.436,0.0,0.0989,0.0898,150.117,audio_features,6JT8FZD6yLksUgZQKwrAog,spotify:track:6JT8FZD6yLksUgZQKwrAog,https://api.spotify.com/v1/tracks/6JT8FZD6yLksUgZQKwrAog,https://api.spotify.com/v1/audio-analysis/6JT8FZD6yLksUgZQKwrAog,234816,4
7663,0.212,0.264,10,-16.372,1,0.0586,0.762,0.851,0.13,0.0668,53.292,audio_features,3Ana1cPlGki2FLGo3KtS6O,spotify:track:3Ana1cPlGki2FLGo3KtS6O,https://api.spotify.com/v1/tracks/3Ana1cPlGki2FLGo3KtS6O,https://api.spotify.com/v1/audio-analysis/3Ana1cPlGki2FLGo3KtS6O,212907,4
7664,0.688,0.564,0,-12.314,0,0.0348,0.319,0.515,0.498,0.433,125.999,audio_features,5Sdq2bJDtVbkYEzxzRC5iv,spotify:track:5Sdq2bJDtVbkYEzxzRC5iv,https://api.spotify.com/v1/tracks/5Sdq2bJDtVbkYEzxzRC5iv,https://api.spotify.com/v1/audio-analysis/5Sdq2bJDtVbkYEzxzRC5iv,217133,4
7665,0.481,0.245,0,-9.919,0,0.0301,0.904,0.0,0.0794,0.24,127.945,audio_features,6iugn6q3GRGOaZoyKW5Osy,spotify:track:6iugn6q3GRGOaZoyKW5Osy,https://api.spotify.com/v1/tracks/6iugn6q3GRGOaZoyKW5Osy,https://api.spotify.com/v1/audio-analysis/6iugn6q3GRGOaZoyKW5Osy,160240,4
7666,0.464,0.546,8,-8.459,1,0.102,0.185,0.0,0.717,0.421,171.906,audio_features,3WEbtu1gTyWA9fkhxCFn1r,spotify:track:3WEbtu1gTyWA9fkhxCFn1r,https://api.spotify.com/v1/tracks/3WEbtu1gTyWA9fkhxCFn1r,https://api.spotify.com/v1/audio-analysis/3WEbtu1gTyWA9fkhxCFn1r,271773,4
7667,0.706,0.455,0,-10.186,0,0.0948,0.635,0.000708,0.11,0.364,114.049,audio_features,46ax2pjl0l1VCxrg7xPgp7,spotify:track:46ax2pjl0l1VCxrg7xPgp7,https://api.spotify.com/v1/tracks/46ax2pjl0l1VCxrg7xPgp7,https://api.spotify.com/v1/audio-analysis/46ax2pjl0l1VCxrg7xPgp7,192693,4
7668,0.322,0.361,9,-12.42,0,0.0379,0.772,0.00143,0.0879,0.177,127.03,audio_features,5QpFslTuE9G0lfQHajuQpY,spotify:track:5QpFslTuE9G0lfQHajuQpY,https://api.spotify.com/v1/tracks/5QpFslTuE9G0lfQHajuQpY,https://api.spotify.com/v1/audio-analysis/5QpFslTuE9G0lfQHajuQpY,258027,5
7669,0.652,0.634,6,-10.611,0,0.054,0.628,0.271,0.174,0.309,114.005,audio_features,01OnRbYzXswI1Fk0LJjCti,spotify:track:01OnRbYzXswI1Fk0LJjCti,https://api.spotify.com/v1/tracks/01OnRbYzXswI1Fk0LJjCti,https://api.spotify.com/v1/audio-analysis/01OnRbYzXswI1Fk0LJjCti,228627,4
7670,0.675,0.669,7,-9.204,0,0.0678,0.626,9.15e-06,0.902,0.465,113.96,audio_features,1SUkhHEGrVaZbp79rysFAG,spotify:track:1SUkhHEGrVaZbp79rysFAG,https://api.spotify.com/v1/tracks/1SUkhHEGrVaZbp79rysFAG,https://api.spotify.com/v1/audio-analysis/1SUkhHEGrVaZbp79rysFAG,249627,4
7671,0.474,0.442,9,-11.446,0,0.0327,0.104,0.664,0.553,0.0965,139.948,audio_features,6LUKFKT6xuEnqSSIX6Rf1G,spotify:track:6LUKFKT6xuEnqSSIX6Rf1G,https://api.spotify.com/v1/tracks/6LUKFKT6xuEnqSSIX6Rf1G,https://api.spotify.com/v1/audio-analysis/6LUKFKT6xuEnqSSIX6Rf1G,109893,4
