song,uri,artist,cluster
Speechless,spotify:track:3GJ4hzg4lrGwU51Y3VARbF,Dan + Shay,249
Stupid Love,spotify:track:24OqdtijU1mbtv1qINaLi7,Dan + Shay,138
No Such Thing,spotify:track:5LfN2gCSSnZmbXaOZMoCX3,Dan + Shay,259
My Side of the Fence,spotify:track:3fHgqkRp331r3W0WtUGBGr,Dan + Shay,25
Island Time,spotify:track:5ukbCSlWXCWimfHlajkhhn,Dan + Shay,329
Diving,spotify:track:7qbbSDYI4DOdW462NB0aQJ,Bridgit Mendler,249
Break Up Song,spotify:track:5HArmECc1y0lCHKVKDKXa4,Little Mix,10
Holiday,spotify:track:5428XgSLRJfpMRN3r6YXob,Little Mix,259
Sweet Melody,spotify:track:76Tuo484SLohJakHLnGI3B,Little Mix,164
Confetti,spotify:track:5zQ00D9j9MkQbsd9qmenBa,Little Mix,118
Happiness,spotify:track:4efdhHdTAS3sYJnI0mjHDc,Little Mix,496
Not a Pop Song,spotify:track:5WDIq9E5f5ryHeIs8FwKcl,Little Mix,381
Nothing But My Feelings,spotify:track:6DLWgN2TOxdsOXmtLBZAe0,Little Mix,373
Gloves Up,spotify:track:15rrQmSEBXtkR6ylXs1NMY,Little Mix,126
A Mess (Happy 4 U),spotify:track:3I8rRolUKTTFnqQ0EXFMtv,Little Mix,288
My Love Won't Let You Down,spotify:track:3Ms30cFnM7su9lCdwgnexR,Little Mix,52
Rendezvous,spotify:track:157MAS9dxMKcYTvISq6hie,Little Mix,167
If You Want My Love,spotify:track:0KqyuMJ8KqOMY3QV81D8se,Little Mix,342
Breathe,spotify:track:2fEO0ZzHNp82CfZ6BxVqso,Little Mix,342
Listenin' (Intro) - Continuous Mix,spotify:track:2N6amTz2RnT55oZ7GHYtrz,David Guetta,287
What I Did for Love (feat. Emeli Sandé) vs. S.T.O.P. (feat. Ryan Tedder) - Listenin' Continuous Mix,spotify:track:2Hz8yIuevyviT7k2LN0NyU,David Guetta,292
What I Did for Love (feat. Emeli Sandé) - Morten Remix; Listenin' Continuous Mix,spotify:track:4KTFfLOR9w3VWLMoKYFl90,David Guetta,245
Lovers on the Sun (feat. Sam Martin) - Stadiumx Remix; Listenin' Continuous Mix,spotify:track:4n4gzE90LFBwZE86XbllGo,David Guetta,383
"Yesterday (feat. Bebe Rexha) vs. Lift Me Up (feat. Nico & Vinz, Ladysmith Black Mambazo) - Listenin' Continuous Mix",spotify:track:1L2DLOdfG1jHh7XYewDptW,David Guetta,442
Dangerous (feat. Sam Martin) - Robin Schulz Remix; Listenin' Continuous Mix,spotify:track:0fIQvc5h8T9173DmOe9dLP,David Guetta,7
Dangerous (feat. Sam Martin) - David Guetta Banging Remix; Listenin' Continuous Mix,spotify:track:2uE8oex0wLSUZD3Ur8kMIy,David Guetta,34
Sun Goes Down (feat. MAGIC! & Sonny Wilson) - Brooks Remix; Listenin' Continuous Mix,spotify:track:2BZV4YMUkl2B96TaK83zOj,David Guetta,475
Sun Goes Down (feat. MAGIC! & Sonny Wilson) - Hugel Remix; Listenin' Continuous Mix,spotify:track:70etV1enu30JmB4trRIwFT,David Guetta,245
Bang My Head (feat. Sia) - GLOWINTHEDARK Remix; Listenin' Continuous Mix,spotify:track:2ViVrUNezsBRVnOyuPUvAG,David Guetta,129
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) - Noodles Remix; Listenin' Continuous Mix",spotify:track:2xDXsaU28V1c73dxJOxgCX,David Guetta,34
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) - Afrojack Remix; Listenin' Continuous Mix",spotify:track:7LLzNQbyk0aV2RwSzhb7ac,David Guetta,299
